Points_0,Points_1,Points_2
49.2631,9.50625,0
49,10,0
48.2522,9.50625,0
48,10,0
47.2412,9.50625,0
50,10,0
49.7686,6.87969,0
50,6,0
50,7,0
49.2631,6.00417,0
46.7357,8.63073,0
47.7467,8.63073,0
47.2412,7.75521,0
48.2522,7.75521,0
46.2302,7.75521,0
47.7467,6.87969,0
48.7577,6.87969,0
48.2522,6.00417,0
47.2412,6.00417,0
45.7248,6.87969,0
46.7357,6.87969,0
46.2302,6.00417,0
45.2193,6.00417,0
49.2631,7.75521,0
48.7577,8.63073,0
50,9,0
49.7686,8.63073,0
50,8,0
44.7138,5.12864,0
45.7248,5.12864,0
45.2193,4.25312,0
46.2302,4.25312,0
44.2083,4.25312,0
45.7248,3.3776,0
46.7357,3.3776,0
46.2302,2.50208,0
47.2412,2.50208,0
45.2193,2.50208,0
43.7028,3.3776,0
44.7138,3.3776,0
44.2083,2.50208,0
43.1974,2.50208,0
46.7357,1.62656,0
47.7467,1.62656,0
47.2412,0.751041,0
48.2522,0.751041,0
46.2302,0.751041,0
49,0,0
48,0,0
47,0,0
46,0,0
45.2193,0.751041,0
42.6919,1.62656,0
43.7028,1.62656,0
43.1974,0.751041,0
44.2083,0.751041,0
42.1864,0.751041,0
45,0,0
44,0,0
43,0,0
42,0,0
41.1754,0.751041,0
44.7138,1.62656,0
45.7248,1.62656,0
48.7577,1.62656,0
50,0,0
49.2631,0.751041,0
48.2522,2.50208,0
49.2631,2.50208,0
50,2,0
49.7686,1.62656,0
50,1,0
50,3,0
47.7467,3.3776,0
47.2412,4.25312,0
48.2522,4.25312,0
46.7357,5.12864,0
48.7577,5.12864,0
47.7467,5.12864,0
49.7686,5.12864,0
49.2631,4.25312,0
50,5,0
50,4,0
48.7577,3.3776,0
49.7686,3.3776,0
35.1096,9.50625,0
35,10,0
34.0987,9.50625,0
34,10,0
33.0877,9.50625,0
33,10,0
32.0767,9.50625,0
32,10,0
31,10,0
31.0658,9.50625,0
34.6042,8.63073,0
35.6151,8.63073,0
35.1096,7.75521,0
36.1206,7.75521,0
34.0987,7.75521,0
35.6151,6.87969,0
36.6261,6.87969,0
36.1206,6.00417,0
37.1316,6.00417,0
35.1096,6.00417,0
33.5932,6.87969,0
34.6042,6.87969,0
34.0987,6.00417,0
33.0877,6.00417,0
30.5603,8.63073,0
31.5713,8.63073,0
31.0658,7.75521,0
32.0767,7.75521,0
30.0548,7.75521,0
31.5713,6.87969,0
32.5822,6.87969,0
32.0767,6.00417,0
31.0658,6.00417,0
29.5493,6.87969,0
30.5603,6.87969,0
30.0548,6.00417,0
29.0439,6.00417,0
33.0877,7.75521,0
32.5822,8.63073,0
33.5932,8.63073,0
36.6261,5.12864,0
37.6371,5.12864,0
37.1316,4.25312,0
38.1425,4.25312,0
36.1206,4.25312,0
37.6371,3.3776,0
38.648,3.3776,0
38.1425,2.50208,0
39.1535,2.50208,0
37.1316,2.50208,0
35.6151,3.3776,0
36.6261,3.3776,0
36.1206,2.50208,0
35.1096,2.50208,0
38.648,1.62656,0
39.659,1.62656,0
39.1535,0.751041,0
40.1645,0.751041,0
38.1425,0.751041,0
41,0,0
40,0,0
39,0,0
38,0,0
34.6042,1.62656,0
35.6151,1.62656,0
35.1096,0.751041,0
36.1206,0.751041,0
34.0987,0.751041,0
37,0,0
37.1316,0.751041,0
35,0,0
34,0,0
36,0,0
36.6261,1.62656,0
37.6371,1.62656,0
28.5384,5.12864,0
29.5493,5.12864,0
29.0439,4.25312,0
30.0548,4.25312,0
28.0329,4.25312,0
29.5493,3.3776,0
30.5603,3.3776,0
30.0548,2.50208,0
31.0658,2.50208,0
29.0439,2.50208,0
27.5274,3.3776,0
28.5384,3.3776,0
28.0329,2.50208,0
27.0219,2.50208,0
30.5603,1.62656,0
31.5713,1.62656,0
31.0658,0.751041,0
32.0767,0.751041,0
30.0548,0.751041,0
33,0,0
33.0877,0.751041,0
31,0,0
30,0,0
32,0,0
26.5164,1.62656,0
27.5274,1.62656,0
27.0219,0.751041,0
28.0329,0.751041,0
26.011,0.751041,0
29,0,0
29.0439,0.751041,0
27,0,0
26,0,0
28,0,0
28.5384,1.62656,0
29.5493,1.62656,0
32.5822,1.62656,0
32.0767,2.50208,0
33.0877,2.50208,0
33.5932,1.62656,0
34.0987,2.50208,0
31.5713,3.3776,0
31.0658,4.25312,0
32.0767,4.25312,0
30.5603,5.12864,0
32.5822,5.12864,0
31.5713,5.12864,0
34.6042,3.3776,0
35.1096,4.25312,0
34.0987,4.25312,0
34.6042,5.12864,0
33.5932,5.12864,0
35.6151,5.12864,0
